"Latitude","Longitude","CType","SampleYear","SowingPeriod","HarvestingPeriod","Others","Index"
28.153585,77.78382,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.149456,77.789919,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.145752,77.776181,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.150946,77.790805,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.150586,77.790381,"PigeonPea",2017,"01/04/17","31/10/17",NA,4
28.148728,77.787833,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.147829,77.790751,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.140258,77.768167,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.145904,77.776503,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.149049,77.786116,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.149002,77.78404,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.146904,77.773842,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.15342,77.784995,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.153689,77.780011,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.148009,77.785612,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.153126,77.786003,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.141013,77.768856,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.152814,77.788922,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.149546,77.785708,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.153486,77.776004,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.151934,77.796384,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.155013,77.775532,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.150156,77.798401,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.152644,77.795332,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.153259,77.781132,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.147554,77.788047,"Sorghum",2017,"01/04/17","31/10/17",NA,5
28.160382,77.795567,"ForestNonCropland",2017,NA,NA,NA,6
28.153061,77.805679,"ForestNonCropland",2017,NA,NA,NA,6
28.147831,77.799081,"ForestNonCropland",2017,NA,NA,NA,6
28.157644,77.794944,"ForestNonCropland",2017,NA,NA,NA,6
28.160889,77.801296,"ForestNonCropland",2017,NA,NA,NA,6
28.158931,77.793678,"ForestNonCropland",2017,NA,NA,NA,6
28.159197,77.794043,"ForestNonCropland",2017,NA,NA,NA,6
28.157899,77.794988,"ForestNonCropland",2017,NA,NA,NA,6
28.149213,77.800443,"ForestNonCropland",2017,NA,NA,NA,6
28.147405,77.795551,"ForestNonCropland",2017,NA,NA,NA,6
28.160402,77.793228,"ForestNonCropland",2017,NA,NA,NA,6
28.148168,77.797772,"ForestNonCropland",2017,NA,NA,NA,6
28.156012,77.800674,"ForestNonCropland",2017,NA,NA,NA,6
28.1483,77.795905,"ForestNonCropland",2017,NA,NA,NA,6
28.151755,77.807095,"ForestNonCropland",2017,NA,NA,NA,6
28.149093,77.799102,"ForestNonCropland",2017,NA,NA,NA,6
28.151711,77.80481,"ForestNonCropland",2017,NA,NA,NA,6
28.147152,77.794789,"ForestNonCropland",2017,NA,NA,NA,6
28.160319,77.794902,"ForestNonCropland",2017,NA,NA,NA,6
28.148585,77.801602,"ForestNonCropland",2017,NA,NA,NA,6
28.160078,77.795781,"ForestNonCropland",2017,NA,NA,NA,6
28.159808,77.794601,"ForestNonCropland",2017,NA,NA,NA,6
28.159863,77.792305,"ForestNonCropland",2017,NA,NA,NA,6
28.146436,77.794521,"ForestNonCropland",2017,NA,NA,NA,6
28.148579,77.803061,"ForestNonCropland",2017,NA,NA,NA,6
28.159797,77.792069,"ForestNonCropland",2017,NA,NA,NA,6
28.159937,77.80209,"ForestNonCropland",2017,NA,NA,NA,6
28.127199,77.785435,"Habitation",2017,NA,NA,NA,7
28.130058,77.810819,"Habitation",2017,NA,NA,NA,7
28.130752,77.811012,"Habitation",2017,NA,NA,NA,7
28.164644,77.773837,"Habitation",2017,NA,NA,NA,7
28.164127,77.773386,"Habitation",2017,NA,NA,NA,7
28.123183,77.824767,"Habitation",2017,NA,NA,NA,7
28.166357,77.758199,"Habitation",2017,NA,NA,NA,7
28.150354,77.787791,"Habitation",2017,NA,NA,NA,7
28.19117,77.792372,"Habitation",2017,NA,NA,NA,7
28.122635,77.824788,"Habitation",2017,NA,NA,NA,7
28.164367,77.773655,"Habitation",2017,NA,NA,NA,7
28.162974,77.774588,"Habitation",2017,NA,NA,NA,7
28.163898,77.773451,"Habitation",2017,NA,NA,NA,7
28.152021,77.790389,"Habitation",2017,NA,NA,NA,7
28.166976,77.758929,"Habitation",2017,NA,NA,NA,7
28.168751,77.756526,"Habitation",2017,NA,NA,NA,7
28.1629,77.776154,"Habitation",2017,NA,NA,NA,7
28.211104,77.763907,"Habitation",2017,NA,NA,NA,7
28.163861,77.774041,"Habitation",2017,NA,NA,NA,7
28.124142,77.825759,"Habitation",2017,NA,NA,NA,7
28.168729,77.756826,"Habitation",2017,NA,NA,NA,7
28.124442,77.823544,"Habitation",2017,NA,NA,NA,7
28.162783,77.773708,"Habitation",2017,NA,NA,NA,7
28.186337,77.774929,"Habitation",2017,NA,NA,NA,7
28.125925,77.805326,"Habitation",2017,NA,NA,NA,7
28.163062,77.774835,"Habitation",2017,NA,NA,NA,7
28.133836,77.783453,"Habitation",2017,NA,NA,NA,7
28.173508,77.772007,"Habitation",2017,NA,NA,NA,7
28.163878,77.774277,"Habitation",2017,NA,NA,NA,7
28.123213,77.814922,"Habitation",2017,NA,NA,NA,7
28.126782,77.804918,"Habitation",2017,NA,NA,NA,7
28.173578,77.771803,"Habitation",2017,NA,NA,NA,7
28.132891,77.782903,"Habitation",2017,NA,NA,NA,7
28.152491,77.790336,"Habitation",2017,NA,NA,NA,7
28.129788,77.811484,"Habitation",2017,NA,NA,NA,7
28.163076,77.775715,"Habitation",2017,NA,NA,NA,7
28.157886,77.782339,"Habitation",2017,NA,NA,NA,7
28.163588,77.774137,"Habitation",2017,NA,NA,NA,7
28.130488,77.810605,"Habitation",2017,NA,NA,NA,7
28.162619,77.775564,"Habitation",2017,NA,NA,NA,7
28.127134,77.80479,"Habitation",2017,NA,NA,NA,7
