"VH_2017-05-15","VH_2017-05-27","VH_2017-06-08","VH_2017-07-02","VH_2017-07-14","VH_2017-07-26","VH_2017-08-07","VH_2017-08-19","VH_2017-08-31","VH_2017-09-12","VH_2017-09-24","VH_2017-10-06","VH_2017-10-18"
0.017043898,0.03132768,0.027049433,0.037129708,0.024089975,0.039896384,0.049197178,0.022776194,0.066313304,0.051921684,0.0665977,0.04746468,0.044671405
0.014256289,0.030147072,0.018472146,0.04193753,0.022520415,0.025669059,0.036382835,0.034527093,0.055121113,0.043386288,0.047204867,0.034588713,0.035070956
0.011548496,0.026316527,0.03722392,0.039201312,0.039640781,0.055181909,0.072057679,0.043510117,0.035581898,0.04481101,0.062867388,0.043024987,0.045863915
0.030688252,0.025981715,0.028502012,0.060207982,0.040853981,0.052853186,0.064371929,0.047692165,0.046240915,0.04667145,0.067133591,0.032271601,0.049370404
0.025523901,0.056413233,0.04508321,0.057219405,0.040398989,0.060300723,0.072415575,0.034216523,0.039381608,0.049164277,0.098673493,0.044932384,0.03872595
0.015707208,0.036325395,0.03711411,0.049788628,0.047007143,0.036758736,0.041515794,0.043597657,0.053193171,0.050586563,0.058414306,0.040668413,0.033831216
0.008262891,0.021130284,0.017557323,0.033660416,0.025168382,0.021906579,0.048006374,0.037034713,0.046086397,0.037311621,0.068163142,0.025710242,0.023803527
0.025371956,0.032032155,0.058287092,0.050104823,0.036114719,0.051567815,0.046344902,0.042993188,0.047864635,0.057838567,0.045016728,0.045377284,0.040884282
0.030129921,0.018658036,0.026985744,0.042162072,0.046828065,0.057744939,0.058218453,0.036493883,0.055155668,0.052145708,0.078339249,0.061052658,0.04869847
0.023605276,0.030372975,0.030668454,0.062795095,0.054623641,0.049419206,0.056331802,0.036091819,0.059512243,0.041244246,0.037430611,0.038488794,0.043501262
0.021870393,0.036951307,0.031866908,0.040339306,0.036371414,0.035724036,0.044363569,0.037043545,0.069484815,0.055948164,0.073141329,0.039099932,0.037787542
0.022624895,0.034410842,0.031552546,0.035020009,0.035198539,0.057849474,0.041430667,0.0314468,0.041101359,0.053918839,0.064724378,0.052864634,0.039842729
0.019024311,0.031204563,0.038763974,0.055719841,0.036171921,0.044558134,0.057052795,0.033035859,0.053841483,0.039623715,0.046388112,0.039409261,0.048311289
0.019829534,0.031206142,0.029539306,0.060946506,0.049260467,0.057412174,0.05668252,0.037900902,0.042909499,0.051184651,0.0613873,0.047362983,0.058427572
0.028617065,0.050100047,0.032510463,0.060113233,0.03849043,0.049432509,0.050713774,0.045747597,0.043643247,0.037820108,0.070118241,0.041506909,0.041758325
0.009189438,0.018279236,0.028471587,0.048138518,0.038425051,0.070461594,0.076335415,0.040846117,0.057415634,0.059114423,0.050325911,0.026281627,0.03512188
0.026079284,0.020411778,0.032244276,0.048256949,0.046501964,0.071199819,0.037672814,0.044881016,0.048904195,0.061949104,0.054671749,0.05670166,0.064329527
