3917,7835,5091,2347,1111,1172,1398,1928,1919,1910,5500,5500,5500,2078
3682,7365,4301,1237,1144,1427,1642,4975,3632,2290,6193,6193,6193,1272
2187,4374,2625,877,1207,1840,3443,6664,7451,8238,8238,8238,6711,7551
3378,6756,6232,5709,2288,2896,4923,6574,7332,8090,8090,8090,6859,7477
2629,5258,3871,2484,2448,3286,4991,6397,7232,8067,8067,8067,6359,7620
3021,6042,5672,5302,2582,3175,4802,6582,7253,7925,7925,7925,6135,7263
4174,8348,7827,7307,1485,1370,1621,2448,5146,7844,7844,7844,7229,8635
4034,8069,8300,8531,2494,1586,1689,1805,2484,3163,6364,6364,6364,2443
4227,8455,8406,8357,2098,1315,1310,1655,2309,2964,6518,6518,6518,3994
4113,8227,8505,8783,2075,1301,1456,1709,1827,1945,3711,5303,6895,4121
3553,7107,7773,8440,2505,2149,1629,2029,3240,4451,7005,7005,7005,6418
3793,7586,7964,8342,2795,1214,1354,1440,2849,4258,5405,6160,6915,3591
3847,7694,5044,2395,1684,1344,3122,6846,4544,2243,7004,7004,7004,8916
1321,2642,2110,1578,1153,1543,2212,7411,7601,7792,5008,5960,6912,8833
3222,6445,3884,1324,1157,2141,2951,4040,6024,8008,8008,8008,6433,6602
3148,6297,4060,1823,1169,1879,4069,3667,5919,8171,8171,8171,6651,7730
3722,7444,4426,1409,1139,1330,4473,6737,7274,7812,7812,7812,6326,7477
3735,7471,4365,1259,1166,1242,2593,5724,6784,7844,7844,7844,6242,7837
4302,8604,8553,8503,2104,1436,1658,4130,5878,7627,5391,4379,3367,2121
4301,8603,8601,8600,2274,1316,1419,1624,1282,941,3679,3679,3679,6143
3477,6954,4417,1881,1392,2155,1878,1561,1842,2124,4794,4794,4794,2804
3931,7863,7244,6626,1782,1485,1472,3418,5229,7041,6977,5716,4456,8143
4213,8427,8481,8536,2214,1326,1921,3905,5648,7392,7392,7392,7392,3486
3821,7643,8141,8639,2571,1343,1945,1823,4392,6962,3653,3653,3653,2827
2310,4621,4111,3602,1348,1327,1922,1326,3476,5626,5297,4425,3554,3187
4286,8572,8548,8524,2056,1327,1605,1537,1847,2158,5071,4443,3815,3609
3356,6713,4503,2294,2497,2566,2138,2640,3069,3498,6239,5055,3872,1364
2999,5998,6019,6041,2106,2142,4179,7014,7593,8172,5752,5169,4587,7626
2900,5801,4303,2806,1681,2586,3607,6349,7151,7954,7954,7954,5029,7404
2898,5796,5383,4971,2030,2699,3711,6696,7419,8143,5945,4917,3889,8090
4127,8255,8417,8579,1607,1441,3768,6095,4300,2505,6161,6161,6161,3024
2361,4723,6964,9206,5396,1680,1054,2075,5211,8348,8348,8348,6735,8014
3025,6051,7673,9295,5542,1614,1296,2730,5499,8268,8268,8268,6870,7872
1443,2887,5012,7137,7347,2738,2479,2042,2119,2196,6590,6590,6590,1820
1105,2210,5065,7920,7787,4923,3206,1827,6182,6182,6182,6182,6182,7350
3959,7918,8352,8786,2964,1626,1295,3502,5725,7949,7949,7949,4922,8110
3643,7286,4816,2346,1639,1540,2998,4424,6198,7972,6994,6469,5945,8381
2407,4814,7006,9198,5965,1370,2434,3164,6488,6488,6488,6548,6608,8456
923,1846,1757,1668,1412,1678,1914,3535,5718,7902,7180,6545,5910,8097
3931,7862,8404,8946,4028,1696,2802,3908,4239,4570,5263,5541,5819,8180
2571,5143,3961,2779,2548,4025,2755,5804,6909,8015,7287,6505,5723,6547
3449,6899,8123,9348,5657,1541,415,2798,3773,4749,5458,6336,7215,8334
